id	entry	ipa	pos	definition	example_sent	scientific_name	wiki_link	pic_link	comment	audio	created_at	marked
2486	jowu	dʒowu	S	enguia-d'água-doce, muçum		gênero Synbranchus	https://pt.wikipedia.org/wiki/Synbranchus_marmoratus	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/F_de_Castelnau-poissonsPl44.jpg/250px-F_de_Castelnau-poissonsPl44.jpg			13/04/2026	
2487	jugo kigadurewu	dʒugo kigaduɾew	S	taiaçu		Dicotyles tajacu		https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Collared_peccary02_-_melbourne_zoo.jpg/500px-Collared_peccary02_-_melbourne_zoo.jpg			13/04/2026	
2488	jugodoge eimejera	dʒugodoge eimedʒeɾa	LEX	queixada macho, guia da manada de porcos silvestre							13/04/2026	
2489	jui (pl. juie)	dʒui	LEX	caititu, catete							13/04/2026	
2490	juirewu	dʒuiɾew	LEX	abotoado		Pterodoras granulosus	https://pt.wikipedia.org/wiki/Abotoado	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Johann_Natterer_-_Abotoado_%28Pterodoras_granulosus%29.jpg/960px-Johann_Natterer_-_Abotoado_%28Pterodoras_granulosus%29.jpg			13/04/2026	
2491	juko (pl. jukoe)	dʒuko	LEX	macaco							13/04/2026	
2492	juko perapororewuge	dʒuko peɾapoɾoɾewge	LEX	abelhas moça-branca							13/04/2026	
2493	jukodo	dʒukodːʌ	LEX	abanar; tipo de colar bororo							13/04/2026	
2494	juku	dʒuku	LEX	corte, fio; cortar, ter fio							13/04/2026	
2495	jukuado	dʒukuadːʌ	LEX	cercar, cortar na frente							13/04/2026	
2496	jukwa	dʒukwa	LEX	entalha							13/04/2026	
2497	jura (iura)	dʒuɾa	LEX	costela							13/04/2026	
2498	jura ra	dʒuɾa ɾa	S	caixa toráxica							13/04/2026	
2499	jurado	dʒuɾadːʌ	VC	puxar, esticar							13/04/2026	
2500	jure1	dʒuɾe	LEX	sucuri		Eunectes murinus	https://pt.wikipedia.org/wiki/Sucuri	https://upload.wikimedia.org/wikipedia/commons/b/b4/Sucuri_verde.jpg			13/04/2026	
2501	jure2	dʒuɾe	LEX	arco íris; dança, fila							13/04/2026	
2502	jurea	dʒuɾea	LEX	pindaíba							13/04/2026	
2503	jurea	dʒuɾea	LEX	rastro de sucuri							13/04/2026	
2504	jurewu	dʒuˈɾew	S	mandioca (chamada assim pela semelhança com a planta denominada ju)							13/04/2026	
2505	jurewu ika	dʒuˈɾew ˈika	LEX	planta de mandioca, rama de mandioca							13/04/2026	
2506	ka aturuarewu	ka atuɾuaɾew	S	grande tambor, feito de cerâmica Pertence aos Kie							13/04/2026	
2507	ka awadu	ka awadu	LEX	muito gordo							13/04/2026	
2508	ka i	kaˈi	LEX	variedade de cedro							13/04/2026	
2509	ka okogerewu	ka okogeɾew	S	tipo de tambor bororo							13/04/2026	
2510	kaba jiba	kaba dʒiba	PRON	o que (quando depende de um verbo intransitivo)							13/04/2026	
2511	kabaguru	kabaguɾu	LEX	qualidade muito esguio, delgado; jazer no chão chão							13/04/2026	
2512	kabagururewu	kabaguɾuˈɾew	S	aquilo que é muito delgado							13/04/2026	
2513	kabi	kabi	VT	limpar, lavar							13/04/2026	true
2514	kabida	kabidːa	LEX	banheiro							13/04/2026	
2515	kabijire	kabidʒiɾe	CONJ	porque							13/04/2026	
2516	kabo1	kabo	LEX	cucurbitácea do cerrado; a casca da fruta é usada para guardar pena							13/04/2026	
2517	kabo2	kabo	LEX	variedade de peixe (espécie não identificada)							13/04/2026	
2518	kaboba	kaboba	PRON	o que (é)?	kaboba ji ba amagore = oque você está falando?						13/04/2026	
2519	kadagare (ou kadogare)	kadagaɾe	LEX	variedade de pequeno martim-pescador/guarda-rios (gênero Chloroceryle)		Chloroceryle	https://pt.wikipedia.org/wiki/Chloroceryle				13/04/2026	
2520	kadago	kadago	LEX	saracura (ave							13/04/2026	
2521	kadamo (ou kadomo)	kadamo	LEX	variedade de grande martim-pescador/guarda-rios		gênero Megaceryle	https://pt.wikipedia.org/wiki/Megaceryle				13/04/2026	
2522	kado enoguru	kado enoguɾu	LEX	seiva de taquara nova							13/04/2026	
2523	kado rairewu aroe	kado ɾaiɾew aɾoe	LEX	representação bororo e autores da mesma							13/04/2026	
2524	kadobora	kadoboɾa	LEX	balsa feita com taquara							13/04/2026	
2525	kadodu	kaˈdːodːɯ	PPASS	cortado, dividido, partido							13/04/2026	
2526	kadodurewu	kaˈdːodːɯˈɾew	S	o cortado, o dividido, o partido							13/04/2026	
2527	kadogare (ou kadagare)	kadogaɾe	LEX	variedade de pequeno martipescador (ave							13/04/2026	
2528	kadogare marege	kadogaɾe maɾege	LEX	membros de uma tribo atualmente desconhecida							13/04/2026	
2529	kadogare uiorubo	kadogaɾe uioɾubo	LEX	árvore cujas folhas são esfregadas nas mãos dos pescadores para terem sorte na pescaria							13/04/2026	
2530	kadogarewu	kadogaˈɾew	S	muçurana, muquirana, caninana		Clelia clelia	https://pt.wikipedia.org/wiki/Muçuranːa				13/04/2026	
2531	kadogubo bororo	kadogubo boɾoɾo	LEX	antiga aldeia bororo nas margens do Kadogubo							13/04/2026	
2532	kadoguru	kadoguɾu	LEX	taquaral	barae ere kadoguru akedudo = os não indígenas acabaram com os taquaral						13/04/2026	
2533	kadomo	kadomːo	LEX	variedade de grande martipescador							13/04/2026	
2534	kadomogo	kadomogo	LEX	região rica em taquarais, nas margens do rio Taquari							13/04/2026	
2535	kadomogo iwo	kadomogo iwo	LEX	bambu imperial							13/04/2026	
2536	kadori	kadoɾi	LEX	morro situado nos arredores da atual cidade de Guiratinga; morro situado nos arredores da cidade de Rondonópolis: morro Cadopare							13/04/2026	
2537	kadurewu (kadu kadurewu)	kaduɾew	LEX	listrado, pintado, de várias cores							13/04/2026	
2538	kaduru	kaduɾu	LEX	sabor, gosto							13/04/2026	
2539	kadurudo	kaduɾudːʌ	LEX	deixar saboroso							13/04/2026	
2540	kadururewu	kaduɾuˈɾew	LEX	o gostoso, saboroso	awu boe kugu kadururewu pemeganure rugadu = essa sopa tradicional esta saboroso						13/04/2026	
2541	kae (vrt. de ae)	kae	POSP	no rumo de algum lugar ou coisa							13/04/2026	
2542	kaeweredu (kaido)	kaeweɾedu	LEX	palmeira acumã		Syagrus flexuosa					13/04/2026	
2543	kaga	kaga	LEX	gavião caracará, denominado também kituireu		Caracara plancus	https://pt.wikipedia.org/wiki/Carcar%C3%A1	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Schopfkarakara.jpg/960px-Schopfkarakara.jpg			13/04/2026	
2544	kagado	kagadːʌ	LEX	explicar, falar, recitar							13/04/2026	
2545	kagara	kagaɾa	LEX	tipo de enfeite nasal bororo; tipo de prego ornamental (para a descrição destes enfeites e dos dois seguintes cf EBI pg 332s							13/04/2026	
2546	kagara je ekurewu	kagaɾa dʒe ekuɾew	S	tipo de enfeite nasal; tipo de prego ornamental							13/04/2026	
2547	kagara je kujagurewu	kagaɾa dʒe kudʒaguɾew	S	tipo de enfeite nasal; tipo de prego ornamental							13/04/2026	
2548	kagarari	kagaɾaɾi	LEX	morro nos arredores de Cuiabá							13/04/2026	
2549	kagiri (akagiri)	kagiɾi	LEX	esquartejamento							13/04/2026	
2550	kagirido (akagirido)	kagiɾido	LEX	esquartejar							13/04/2026	
2551	kagiridoda	kagiɾidodːa	LEX	lugar de esquartejamento							13/04/2026	
2552	kago	kago	LEX	armadilha para pegar peixe, pari							13/04/2026	
2553	kagori	kagoɾi	LEX	roxidão, roxo							13/04/2026	
2554	kagorirewu	kagoɾiˈɾew	S	que é roxo							13/04/2026	
2555	kaguda	kagudːa	LEX	lugar onde se peneira algo; resíduos que ficam na peneira							13/04/2026	
2556	kagudurewu	kagudːɯˈɾew	S	o que foi peneirado							13/04/2026	
2557	kaguru	kaguɾu	LEX	gordura líquida, azeite, banha							13/04/2026	
2558	kagurudo	kaguɾudːʌ	LEX	engordurar, untar							13/04/2026	
2559	kagurudodu	kaguɾudːodːɯ	PPASS	engordurado, untado							13/04/2026	
2560	kagurudodurewu	kaguɾudːodːɯˈɾew	S	o engordado, o untado							13/04/2026	
2561	kagururewu	kaguɾuˈɾew	S	o que é gorduroso							13/04/2026	
2562	kai	kai	ADV	sem (negação no modo gerúndio)							13/04/2026	
2563	kai (vrt. de ai)	kai	POSP	para, a							13/04/2026	
2564	kaia	kaia	LEX	pilão; nome ritual do tambor bororo; nome de uma mancha de estrela							13/04/2026	true
2565	kaiamo	kaiamːo	LEX	designação genérica de qualquer tribo inimiga; caiapó, nome atualmente dado aos Xavante							13/04/2026	
2566	kaiamo biagarewu	kaiamo biagaɾew	S	rib Taboca, afluente esquerdo do Kaiamo Kurireu, rib Bandeira							13/04/2026	
2567	kaiamori	kaiamoɾi	LEX	morro da Providência, na atual reserva de Meruri							13/04/2026	
2568	kaibori to	kaiboɾi to	LEX	socar, pilar	Muga ure kaibori to kuiada ji = mamãe socou milho com o mão de pilão						13/04/2026	
2569	kaiborigoda	kaiboɾigodːa	LEX	lugar onde se apiloa algo							13/04/2026	
2570	kaiborigodu	kaiboɾiˈgodːɯ	LEX	socadura, apiloamento; socar, apiloar, pilar							13/04/2026	
2571	kaiborigodurewu	kaiboɾigoduˈɾew	S	o socado, o apiloado							13/04/2026	
2572	kaidaga (kaido)	kaidaga	LEX	palmeirinha acumã; folha da palmeirinha acumã							13/04/2026	
2573	kaidaga oto akirirewu	kaidaga oto akiɾiɾew	S	colar feito com broto de palha de palmeira acumã, enfeitada de penugem branca Pertence aos Paiwoe Cebegiwuge							13/04/2026	
2574	kaidaga oto koborewu	kaidaga oto koboɾew	S	colar feito com broto de palha de acumã recortado Pertence aos PCob							13/04/2026	
2575	kaido (ou kaidaga)	kaido	LEX	palmeira acumã							13/04/2026	
2576	kaidopara	kaidopaɾa	LEX	lendário veadinho das capoeiras							13/04/2026	
2577	kaikai	kaikai	LEX	espécie coruja							13/04/2026	
2578	kaiwara	kaiwaɾa	LEX	baqueta para o tambor							13/04/2026	
2579	kajeje	kadʒedʒːe	POSP	através de, ao redor de							13/04/2026	true
2580	kajejewu	kadʒedʒewu	LEX	que está ao redor, que atravessa							13/04/2026	
2581	kama	kamːa	ADV	bem, mesmo							13/04/2026	
2582	kamarari	kamaɾaɾi	LEX	morro nas cabeceiras do rio Tadarimana							13/04/2026	
2583	kamida	kamidːa	LEX	costura; lugar onde se costura algo							13/04/2026	
2584	kamidurewu	kamiduˈɾew	LEX	o costurado							13/04/2026	
2585	kamo	kamːo	LEX	jirau, moquém: armação para moquera carnes e peixe							13/04/2026	
2586	kamorewu	kamoˈɾew	S	jirau para dormir, cama	iregoduwo ia ipoguru bagai camoreuwu epace = Vou buscar umas madeiras para fazer um jirau						13/04/2026	
2587	kana	kanːa	LEX	braço, antebraço, asa, barbatana peitoral, perna anterior dos quadrúpede							13/04/2026	
2588	kana bu	kana bu	LEX	cobertura das asas de uma ave, pelo dos braço							13/04/2026	
2589	kana jiwu (aroia kana)	kana dʒiwu	LEX	camisa							13/04/2026	
2590	kana koborewu	kana koboɾew	LEX	braço esquerdo							13/04/2026	
2591	kana okea	kana okea	LEX	região interna do braço e antebraço							13/04/2026	
2592	kana paru	kana paɾu	LEX	região escapulumeral; base da asa de uma ave							13/04/2026	
2593	kana pegarewu	kana pegaɾew	S	braço ruim, braço esquerdo							13/04/2026	
2594	kana pemegarewu jaogwai	kana pemegaɾew	S	lado de braço direito							13/04/2026	true
2595	kana uiamugu	kana uiamugu	LEX	região interna do cotovelo							13/04/2026	
2596	kanado	kanadːʌ	LEX	lavrar, apontar, indicar com o braço							13/04/2026	
2597	kanadobijiwu	kanadobidʒiwu	LEX	afluente							13/04/2026	
2598	kanadoda	kanadodːa	LEX	lugar onde se lavra algo							13/04/2026	
2599	kanadodu	kanaˈdːodːɯ	PPASS	lavrado							13/04/2026	
2600	kanadodurewu	kanaˈdːodːɯˈɾew	LEX	o lavrado							13/04/2026	
2601	kanao	kanao	LEX	ombro; espinha do rosto							13/04/2026	
2602	kanaodo	kanaodːʌ	LEX	arredondar							13/04/2026	
2603	kanaododu	kanaoˈdːodːɯ	PPASS	arredondado							13/04/2026	
2604	kanaododurewu	kanaoˈdːodːɯˈɾew	LEX	o arredondado							13/04/2026	
2605	kanaora	kanaoɾa	LEX	cabeça do úmero; parte da asa de uma ave							13/04/2026	
2606	kao	kao	POSP	por, entre							13/04/2026	
2607	kaokao	kaokao	LEX	variedade de choca (ave							13/04/2026	
2608	karadega	kaɾadega	ADV	eis que não, não na verdade							13/04/2026	
2609	karega	kaɾaega	ADV	talvez							13/04/2026	
2610	karai	kaɾai	ADV	indica rapidez, tortuosidade							13/04/2026	
2611	karairewu	kaɾaiˈɾew	LEX	o torto, o rápido							13/04/2026	
2612	karaiwadoge	kaɾaiwadoge	LEX	designação de certos espírito							13/04/2026	
2613	karao (pl. karaoe)	kaɾao	LEX	papagaio verdadeiro		Amazona aestiva	https://pt.wikipedia.org/wiki/Papagaio-verdadeiro	https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Papagaio-verdadeiro.jpg/960px-Papagaio-verdadeiro.jpg			13/04/2026	
2614	karao bari	kaɾao baɾi	LEX	cabacinha apito No corpo da cabacinha abrem-se dois grupos simétricos de 4 janelinhas e a ponta da taquarinha-apito leva tufos de cabelo humano Pertence aos Iw							13/04/2026	
2615	karaoe aroe	kaɾaoe aɾoe	LEX	designação de uma representação e dos seus atore							13/04/2026	
2616	karaoe edugo	kaɾaoe edugo	LEX	tipo de pintura corporal bororo							13/04/2026	
2617	karaoe epori	kaɾaoe epoɾi	LEX	tipo de pote bororo							13/04/2026	
2618	kare eceba (oucareceba)	kaɾe etʃeba	LEX	pescador							13/04/2026	
2619	kare ekojarewu	kaɾe ekodʒaɾew	LEX	brinquedo feito de folhas de palmeira							13/04/2026	
2620	kare eparu	kaɾe epaɾu	LEX	canto de preparação para pesca							13/04/2026	
2621	kare ewa	kaɾe ewa	LEX	ova, ovo de peixe							13/04/2026	
2622	kare ewarewu	kaɾe ewaɾew	LEX	verruga							13/04/2026	
2623	karega	kaɾega	ADV	não	Boenure tagi, imi karega = vocês são bororo, eu não!						13/04/2026	
2624	karegano	kaɾeganːo	ADV	aquele não							13/04/2026	
2625	karegao	kaɾegao	ADV	este não							13/04/2026	
2626	karo (pl. kare)	kaɾo	LEX	peixe							13/04/2026	
2627	karo birikedorewu	kaɾo biɾikedoɾew	S	peixe sem escama	imodukare karo birikedorewu kowuje =  Não como peixe sem escama						13/04/2026	
2628	karo botorewu	kaɾo botoɾew	S	peixe com escama							13/04/2026	
2629	karo kigadurewu	kaɾo kigaduɾew	S	voadeira (peixe)							13/04/2026	
2630	karodu	kaɾodːɯ	LEX	vapor aquoso							13/04/2026	
2631	karodurewu	kaɾoduˈɾew	LEX	o que é recoberto de vapor aquoso							13/04/2026	
2632	karore marege	kaɾoɾe maɾege	LEX	designação de uma tribo amiga, atualmente desconhecida							13/04/2026	
2633	karori (pl. karore)	kaɾoɾi	LEX	libélula		"Subordem:	Anisoptera"	https://pt.wikipedia.org/wiki/Libélula	https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Darter_August_2007-22_edit.jpg/960px-Darter_August_2007-22_edit.jpg			13/04/2026	
2634	karodu	ˈkaɾu	LEX	suor							13/04/2026	
2635	kawaru	kaˈwaɾu	LEX	cavalo		Equus ferus caballus	https://pt.wikipedia.org/wiki/Cavalo	https://upload.wikimedia.org/wikipedia/commons/d/de/Nokota_Horses_cropped.jpg			13/04/2026	
2636	kaweeredu	kaweeɾedːɯ	LEX	coco de palmeira acumã							13/04/2026	
2637	kawoi	kaˈwoi	LEX	bebida alcoólica							13/04/2026	
2638	kawoi kuru	kawoi kuɾu	LEX	bebida de acuri com espinhos de pequi citada numa lenda bororo							13/04/2026	
2639	kaworu tudurewu	kawoɾu tuduɾew	LEX	verde como fruta verde (não madura)							13/04/2026	
2640	kaworurewu	kawoɾuˈɾew	S	o azul, o verde							13/04/2026	
2641	ke eno biri	ke eno biɾi	LEX	pele do nariz do morcego (expressão usada para indicar coisa horrível)							13/04/2026	
2642	ke marugodu	ke maɾugodu	LEX	larva lendária							13/04/2026	
2643	ke1	ke	LEX	alimento, comida							13/04/2026	
2644	ke2	ke	LEX	morcego							13/04/2026	
2645	ke3	ke	LEX	rede ritual							13/04/2026	
2646	keadu	keadːɯ	LEX	ruindade; brincar (sentido pejorativo)							13/04/2026	
2647	keagu	keagu	LEX	gavião-fumaça castanho							13/04/2026	
2648	keakorogo	keakoɾogo	S	papagaio anaçã		Deroptyus accipitrinus	https://pt.wikipedia.org/wiki/Anacã#:~:text=Os%20anacãs%20medem%20em%20torno,larga%20faixa%20azul%20nas%20pontas.	https://upload.wikimedia.org/wikipedia/commons/f/f5/Deroptyus_accipitrinus_or_Red-fan_Parrot_on_ground.jpg			13/04/2026	
2649	keakorogo oto corewu	keakoɾogo oto tʃoɾew	S	araçã de bico preto							13/04/2026	
2650	keaokeao	keaokeao	LEX	variedade de gralha							13/04/2026	
2651	kedaro	kedaɾo	LEX	variedade de morcego							13/04/2026	
2652	kedo	kedːʌ	LEX	alimentar, preparar alimento							13/04/2026	
2653	kedo	kedːʌ	LEX	limpo, vazio, nudez	ere boe kedodo cai je = deixaram tudo vazio						13/04/2026	
2654	kedodo	kedodːʌ	VC	limpar, esvaziar, acabar							13/04/2026	
2655	kedodu	keˈdːodːɯ	PPASS	limpo, vazio							13/04/2026	
2656	kedorewu	kedoˈɾew	S	o limpo, o vazio							13/04/2026	
2657	kejari	kedʒaɾi	LEX	nome de uma antiga aldeia Bororo perto da cidade de Rondonópolis							13/04/2026	
2658	kejari bororo	kedʒaɾi boɾoɾo	LEX	antiga aldeia bororo na localidade de Kejari							13/04/2026	
2659	kerekere	keɾekeɾe	LEX	variedade de papagaio, ararinha							13/04/2026	
2660	kerekeredoge etaro	keɾekeɾedoge etaɾo	LEX	tipo de adorno nasal bororo; tipo de prego ornamental							13/04/2026	
2661	kewiarewu (kie ewiareu)	kewiaɾew	LEX	murici							13/04/2026	
2662	ki	ki	LEX	anta		Tapirus terrestris	https://pt.wikipedia.org/wiki/Anta-brasileira				13/04/2026	
2663	ki	ki	LEX	secura; cume, ponta; mau cheiro, seco, fino, magro							13/04/2026	
2664	ki	ki	POSP	no rumo de cima: pobo ki (rio acima)							13/04/2026	
2665	ki aredu	ki aɾedu	LEX	designação de um ator da representação Kie Aroe							13/04/2026	
2666	ki bakororo	ki bakoɾoɾo	LEX	antepassado dos Kie Cebegiwuge (o mais importante chefe de todo o clã dos Kie							13/04/2026	
2667	ki imedu	ki imedu	LEX	designação de anta macho; de um certo espírito; de um ator da representação Aroe Guboro							13/04/2026	
2668	ki uiorubo	ki uioɾubo	LEX	douradão							13/04/2026	
2669	kia	kia	LEX	barulho suave, som produzido por maracás, folhas ou coisa semelhante							13/04/2026	
2670	kiado	kiadːʌ	VC	fazer soar, bater (o maracá)							13/04/2026	
2671	kiadodu	kiaˈdːodːɯ	PPASS	soado, batido							13/04/2026	
2672	kiagodu	kiaˈgodːɯ	LEX	som incipiente, som fraco de maracá							13/04/2026	
2673	kiareboe	kiaɾeboe	LEX	qualquer coisa que produz som de chocalho ou semelhante							13/04/2026	
2674	kiarewu	kiaˈɾew	S	semente de cana índica silvestre usada no chocalho							13/04/2026	
2675	kiargodurewu	kiaɾgoduˈɾew	S	o triste, o que está com saudade							13/04/2026	
2676	kiari	kiaɾi	LEX	não querença; não querer							13/04/2026	
2677	kiarido	kiaɾidːʌ	VC	fazer não querer							13/04/2026	
2678	kiarigo	kiaɾigo	VC	ofensa, tristeza, entristecer alguém	Akiarigodu kaba boe ewogai = Não fique triste atras daquelas pessoas						13/04/2026	
2679	kiarigodu	kiaɾiˈgodːɯ	LEX	tristeza, saudade; estar triste, estar com saudade							13/04/2026	
2680	kiarirewu	kiaɾiˈɾew	S	o que não quer, o preguiçoso, o desobediente							13/04/2026	
2681	kibiritowu	kibiɾitowu	S	carrapato da anta; variedade de epifita da floresta, usada como remédio contra cáries e dor de dente	kibiritowu ure tododo pogora ji 0 o carrapato picou a perna						13/04/2026	
2682	kibito	kibito	LEX	taquarinha							13/04/2026	
2683	kibito kaworurewu	kibito kawoɾuɾew	S	taquarinha esverdeada							13/04/2026	
2684	kibito kurirewu	kibito kuɾiɾew	S	variedade de grande taquarinha							13/04/2026	
2685	kibito rogu	kibito ɾogu	LEX	variedade de pequena taquarinha		Proscopiidae	https://pt.wikipedia.org/wiki/Proscopiidae				13/04/2026	
2686	kicagigi	kitʃagigi	LEX	muito seco, muito frágil							13/04/2026	
2687	kicarugogo	kitʃaɾugogo	LEX	muito seco							13/04/2026	
2688	kida	kidːa	LEX	calma							13/04/2026	
2689	kidado	kidadːʌ	VC	acalmar							13/04/2026	
2690	kidarewu	kidaˈɾew	S	o calmo							13/04/2026	
2691	kido i	kido i	LEX	almacegueira							13/04/2026	
2692	kido kuru (kidoguru)	kido kuɾu	LEX	variedade de resina segregada pelo kido kuru i							13/04/2026	
2693	kido1	kidːʌ	LEX	periquito vassourinha; certo espírito		Forpus xanthopterygius	https://pt.wikipedia.org/wiki/Forpus_xanthopterygius				13/04/2026	
2694	kido2	kidːʌ	LEX	aparecer, surgir, apontar							13/04/2026	
2695	kido3	kidːʌ	LEX	fruta de uma variedade de almacegueira, resina de esta planta							13/04/2026	
2696	kido4	kidːʌ	LEX	secar, moquear							13/04/2026	
2697	kidoda	kidodːa	LEX	lugar onde se moquea							13/04/2026	
2698	kidodu	kiˈdːodːɯ	PPASS	moqueado							13/04/2026	
2699	kidodurewu	kiˈdːodːɯˈɾew	S	aquilo que foi moqueado							13/04/2026	
2700	kidoe etumana	kidoe etumana	LEX	periquito-d'asa-azul / tuim-de-asa-azul / periquito vassourinha ( Forpus xanthopterygius)		Forpus xanthopterygius	https://pt.wikipedia.org/wiki/Forpus_xanthopterygius	https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Forpus_xanthopterygius_-Brazil-6-4c.jpg/560px-Forpus_xanthopterygius_-Brazil-6-4c.jpg			13/04/2026	
2701	kidoguroe	kidoguɾoe	LEX	abelhas borá		Tetragona clavipes	https://pt.wikipedia.org/wiki/Vorá	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB-zTdiB5NpnlOgNNU2A2sMUwVwy599ZLxZoknbMqtr8aqT_2-K6FiYN_mHFHk2zI-fzsj&s=10			13/04/2026	
2702	kidoguroerewu	kidoguɾoeɾew	LEX	variedade de abelhas borá ou vorá							13/04/2026	
2703	kidoguru	kidoguɾu	LEX	resina mole, usada para grudar penugem no corpo							13/04/2026	
2704	kidoguru boa kurirewu	kidoguɾu boa kuɾiɾew	S	tipo de pintura facial dos bororo							13/04/2026	
2705	kidoguru boarewu	kidoguɾu boaɾaɾew	S	tipo de pintura facial dos bororo							13/04/2026	
2706	kidoguru i	kidoguɾu i	LEX	almacegueira que fornece ótima resina							13/04/2026	
2707	kidoguru jaiworewu	kidoguɾu dʒaiwoɾew	S	arbusto do cerrado, usado como remédio externo							13/04/2026	
2708	kidoguru jaka	kidoguɾu dʒaka	LEX	tipo de pintura facial							13/04/2026	
2709	kidoguru jirirewu	kidoguɾu dʒiɾiɾew	S	arbusto do cerrado de raiz muito amarga usada como remédio							13/04/2026	
2710	kidokia	kidokia	LEX	pirarara		Pseudacanthicus pirarara	https://en.wikipedia.org/wiki/Pseudacanthicus_piraraɾa				13/04/2026	
2711	kidorewu	kidoˈɾew	S	sanhaço		gênero Thraupis	https://pt.wikipedia.org/wiki/Thraupis	https://upload.wikimedia.org/wikipedia/commons/8/83/Thraupis_episcopus_cropped.jpg			13/04/2026	
2712	kie etoborewu	kie etoboɾew	S	redemoinho d'água							13/04/2026	
2713	kie ewiarewu	kie ewiaɾew	S	fruta de murici							13/04/2026	
2714	kiege etarorewu	kiege etaɾoɾew	S	variedade de cipó com cujas folhas aquecidas os bororo fazem aplicações contra oftalmia							13/04/2026	
2715	kiege etore	kiege etoɾe	LEX	tipo de adorno nasal dos bororo							13/04/2026	
2716	kiegeri	kiegeɾi	LEX	morro nas nascentes do Noidori, afluente esquerdo do Pobo Kurirewu (rio das Mortes)							13/04/2026	
2717	kiegeri bororo	kiegeɾi boɾoɾo	LEX	antiga aldeia ao sopé do Kiegeri							13/04/2026	
2718	kiegewo	kiegewo	LEX	tipo de bracelete; tipo de pulseira; tipo de coroa bororo Fabricados com fitas de couro ou de tecido de fibras e tufos de penas coloridas							13/04/2026	
2719	kiegewo eku makarewu	kiegewo eku makaɾew	S	tipo de kiegewo com penas só amarela							13/04/2026	
2720	kiegewo ekurewu	kiegewo ekuɾew	S	tipo de kiegewo com prevalência de penas amarela							13/04/2026	
2721	kiegewo enawu ekurewu	kiegewo enawu ekuɾew	S	tipo de kiegewo com penas só amarela							13/04/2026	
2722	kiegewo enawu urugurewu	kiegewo enawu uɾuguɾew	S	tipo de kiegewo com penas vermelha							13/04/2026	
2723	kiegewo urugurewu	kiegewo uɾuguɾew	S	tipo de kiegewo com penas só vermelha							13/04/2026	
2724	kigadu	kigadːɯ	LEX	brancura, alvura, palidez, limpeza; ser ou ficar branco, pálido, limpo							13/04/2026	
2725	kigadudo	kigadːudːʌ	LEX	embranquecer, limpar							13/04/2026	
2726	kigadudodu	kigadudːodːɯ	PPASS	embranquecido							13/04/2026	
2727	kigadugodurewu	kigadugoduˈɾew	S	aquele que começa a embranquecer							13/04/2026	
2728	kigarewu (ukigareu)	kigaˈɾew	LEX	o chifrudo, o enfeitado com pregos ornamentai							13/04/2026	
2729	kigi	ˈkigi	LEX	riso, sorriso, cócegas; sentir cócega							13/04/2026	
2730	kigido	kiˈgidːʌ	VC	fazer rir, fazer cócega							13/04/2026	
2731	kigigodu	kigiˈgodːɯ	LEX	riso incipiente, sorriso, cócega							13/04/2026	
2732	kigireboe	kigiˈɾeboe	LEX	coisa ridícula, piada							13/04/2026	
2733	kigirewu	kigiˈɾew	S	sorridente, risonho							13/04/2026	
2734	kigo	kigo	LEX	mofo, mofar							13/04/2026	
2735	kigodo	kiˈgodːʌ	VC	fazer mofar, deixar mofar							13/04/2026	
2736	kigodu	kiˈgodːɯ	ADV	freqüentemente, com freqüência, amiúdo							13/04/2026	
2737	kigogodu	kigoˈgodːɯ	LEX	mofo incipiente, estar para mofar							13/04/2026	
2738	kigogodurewu	kigogoduˈɾew	S	o que começa a mofar							13/04/2026	
2739	kigorewu	kigoˈɾew	S	o mofado							13/04/2026	
2740	kigori	kiˈgoɾi	LEX	micose, prurido, coceira, coçar							13/04/2026	
2741	kigorido	kigoˈɾidːʌ	LEX	provocar prurido							13/04/2026	
2742	kigoridoge	kigoɾiˈdoge	LEX	birigüis (insetos que causam prurido)							13/04/2026	
2743	kigoridoge eerubo	kigoɾidoge eeɾubo	LEX	arbusto do cerrado de folhas finas e talo branco, ótimo remédio contra coceira							13/04/2026	
2744	kigorigodu	kigoɾiˈgodːɯ	LEX	coceira incipiente							13/04/2026	
2745	kigorireboe	kigoɾiɾeboe	LEX	coisa que provoca coceira							13/04/2026	
2746	kigorirewu	kigoɾiˈɾew	S	o que causa coceira							13/04/2026	
2747	kigowuia	kigowuia	LEX	mau cheiro, catinga, fedor							13/04/2026	
2748	kigowuiarewu	kigowuiaˈɾew	LEX	o que cheira mal, o que desprende mau cheiro							13/04/2026	
2749	kigudu	kigudːɯ	LEX	fragmento, resto, cisco, farrapo, migalha, lixo							13/04/2026	
2750	kigudurewu	kigudːɯˈɾew	S	aquilo que tem fragmentos; o esfarrapado							13/04/2026	
